d,betaprime,total cost,preprocessing,single enum,probability
137,106,500059272040773248,8762267876121770,9480313545587730,0.025687906259313407
138,106,615663140775791744,8906472654424012,9917454591763300,0.021574570240289977
139,106,995368154823077248,8978575043580712,10665171462086792,0.013979439158364255
140,106,1238569954609441536,9122779821905366,10973436435926660,0.011507618076816892
141,108,2004788658222737152,16144349443625464,19234580214628524,0.012509730981439128
142,108,2531563955366977536,16421444465459432,18866751376675904,0.009894314602031272
143,112,4137027232570830336,61793489348235816,65569604098850368,0.021721895031895422
144,112,5083693767207753728,62938326424569360,68757332312325112,0.018309987200917737
145,112,8248291762812598272,63510744962741952,74436827092687344,0.011859450862319302
146,112,10362562625399517184,64655582039098880,80385779171005248,0.009934842546694904
147,114,16810464908278138880,128915628193875168,152141334741027328,0.011855775426416961
148,114,21029342414068518912,131244325655328928,158673545223792224,0.009786290624967744
149,114,35442668823594397696,132408674386061808,172298116606962048,0.006114025919847763
150,114,45275088282063183872,134737371847539600,180272160016934976,0.004950962928247343
151,118,75686167336940781568,560104091682140928,648203297778810880,0.011323818449536385
152,118,95083866662537641984,570129972577764288,684270867983841920,0.009366776260282452
153,118,157739510468046716928,575142913025582080,735061840954590848,0.005907657095223343
154,120,196434081028481417216,1192408476791756288,1402117402096155904,0.009377766323809007
155,120,324993482194154094592,1202815446692724736,1533089894619576064,0.005987225958245002
156,120,412348885419595792384,1223629386494674944,1597287570120433664,0.004868204416178374
157,120,707931154453242314752,1234036356395656192,1731979579467398912,0.002984257004762444
158,122,917938437925919260672,2633091554951774208,3382925369845386240,0.004664265725114647
159,124,1514383874497543929856,5612681634640353280,6993389344341260288,0.005920488860575807
160,124,1932518651704332517376,5708331287574939648,7245375658971213824,0.004770183369512202
161,124,3304455196234537238528,5756156114042238976,7897471414711269376,0.0029431398615933978
162,124,4278923277191798587392,5851805766976851968,8289424317682623488,0.0023547426938732986
163,128,7101728238285288898560,27576825406041079808,33108867296319496192,0.006077176724602598
164,128,8891092048452504256512,28039277131276754944,34155177445282168832,0.0049775547274662916
165,128,15103354258421639544832,28270502993894588416,37454098184534204416,0.0030994400600084216
