d,betaprime,total cost,preprocessing,single enum,probability
330,272,66812107005488870178504892379662341176823748443318849110016,90535711220670887485398500459541331941944983552,309443322931458123820084471527591392588842663936,4.270558315751187e-12
331,272,151274846109715311392937003504797296945537447582040747671552,92028279575421423352321923057148812226300215296,345692219392670288908839479322935387829353578496,2.0641096447308195e-12
332,274,210832404770373546435772809381082181025126619891188772110336,262973241579820666995113907118622948536879153152,945098951031358906726184537264160242494913642496,4.087503361183522e-12
333,276,450160502977663068342050671701007150403886448637093649317888,757302024106613969430061765206733203804520448000,2680927322226829111701279604657907707599562735616,5.448413404716206e-12
334,276,673716349470351256112996588831418133063973950400215017062400,770007556849166000538576066002317301873691852800,2665968878800812324353620605867322306724594974720,3.638108837707419e-12
335,276,1379228325531578792314862894048825308536425520497326825668608,782713089591718031647090366797901399942863257600,2970178500684168912095714467042031762005945221120,1.9410308979154523e-12
336,276,1960814248405082501544472398816457309291304893346014979686400,795418622334270062755604667593485498012034662400,3058893908761680979312368853570332261322432970752,1.4022100329679293e-12
337,276,4048825385950802981436666460832221764958267371821299757219840,808124155076822093864118968389069596081206067200,3026957886769411421827047868449512647594080206848,6.756911162540826e-13
338,280,6137212268953097694369183514447526501325205124195012967399424,6081900377857999137573346292459710600345439698944,19553449484842120149594698425304425556389560057856,2.979687380659706e-12
339,282,13512673420781256917950135445865450267081982546148339772030976,17749983427193902140108736143730468090023967195136,60366829762421056775813795542597071514528877903872,4.1238782433935255e-12
340,284,20303519832333921803698945854316608899005025905044171211669504,50036137651022250035217305206940021074012936339456,163429728231210194929956745612759923303964487974912,7.49997304652969e-12
341,284,41994759118833694339133205705338239610793583463529597127098368,50889405376426608847381819314370686203402576199680,173887549678513699023949027251916643107555204136960,3.818205391578555e-12
342,284,61511309238320344511934780743406241417995901770720209360912384,51742673101830967659546333421801351332792216059904,173696019073164996640072769611307947171070693343232,2.6144243680945712e-12
343,284,128328181624214576979550762083847162268132446897486006113533952,52595940827235326471710847529232016462181855920128,184393376250188046118195942397291647470090135273472,1.317374723350135e-12
344,284,180599596609150040443781403127672526808901540975646057435234304,53449208552639685283875361636662681591571495780352,185244360316445249739080008625440305545405800644608,9.428151213330375e-13
345,286,390048974844291976954792121163318489975352474350263727474868224,151958479204525016033577320469864004778717169582080,556443184799058780643347894709288280911497006153728,1.2955764024006736e-12
346,286,564676860219958659888279697557366215299466038938491150005174272,154424292578462291840670000407381397619429712330752,578404484302654741895252700762068052745559293820928,9.257743014609285e-13
347,288,1212757211818901480445321701714056752551477396686380683055071232,446440740714552044438464671074082229874909050306560,1618990853575235494508707740701230168024445909729280,1.21489724558679e-12
348,288,1722213275889967481060094681394425995972654962405027738164396032,453690056616510482949887939075953605577490963628032,1587518780606947087764518890304107111402400034848768,8.454795439982768e-13
349,288,3695627268341198877865570673761011685808047766617936828752199680,460939372518468921461311207077824981280072876949504,1682057358918828235285998689621302730119003324284928,4.1365277585973146e-13
350,290,5443037869888022848911105412259087415198822616898250267800109056,1318106128395643766444497679735208468615731469090816,4686647340676149225010824631711252216497785848987648,7.869668218899638e-13
351,290,11614770283455931935622151513759837423290957729370752890439729152,1339161842753923162140299102419760391131863650926592,5118867002373522746191744268141870345463980628115456,3.9663583869085673e-13
352,292,17540824016876879763174737416191055605149127404709526714623983616,3805299104425038751650886232682424998687710000447488,14093373151751475081247971431814446746437985960460288,7.279028530706214e-13
353,294,36806313635740127965585755181141187499614287796538175172531716096,11057505618540995123098313862340044372797171026624512,39554086119564223422054510406988046681990811919319040,9.809125045492665e-13
354,294,54555015568083589871812362898355029565431749434936682187130404864,11237087057183114012348212419778058755029205386264576,39431060410196309406961394953854360155027189364948992,6.625260196231609e-13
355,298,123335684538359410758532718342501254903669375890037580626097340416,90921330157333455923223740058760994886592379098234880,292749674559757560423491892673925739277689577239740416,2.219079329886436e-12
356,298,174491580199063383329939324344825989506192689232779096714756751360,92446238002311666433781184137182378588173220051943424,313898705183397577334277177636835399926105507167731712,1.6612040496749174e-12
357,298,373758144191663620624488780955221371289526047127806619032949358592,93971145847289876944338628215603762289754061005651968,321430345326055877985553133674567912315363741537402880,7.928298332960573e-13
358,298,534707587835192866057890571604319263730563639277412312534518595584,95496053692268087454896072294025145991334901959360512,345050397058753594927048732379097652423960420516102144,5.877301321275174e-13
359,298,1145182907237087144089903340412996122833508859394147909093635915776,97020961537246287331629550093119546462459260670312448,399039227822808444610400659574297238823430008522932224,3.0900258659480135e-13
360,298,1644909354138425645126313915155506751823141280533092753373795450880,98545869382224497842186994171540930164040101624020992,353428147680899273737442246948325375168856770362736640,1.9600813478524518e-13
361,299,3609729780056121225326635398712712089265810845449891638078638915584,204447980007607378130147932916820782388045906274418688,743850287490012351652740401725805203896199196872540160,1.874014134053105e-13
362,302,5344670349752464616945800850350591816807596172340053457808392192000,888082562185418077994217556923554513840538750027825152,3049805237612180485064755701305888366405587005746446336,5.255874799816263e-13
363,302,11260916071734615414999278192969577678130565355059923884793183338496,902290149129506817117035215503899360382165815807442944,3222291015736535314457237133424361796057788467768197120,2.612815416397191e-13
364,302,16447354150674296188524708888789017015533049576419901122078400577536,916497736073595556239852874084244206923792881587060736,3509499665296785361840311181892111625681546679366451200,1.9196307935545783e-13
365,302,35579345623028802726532329708363585295255545423284310660099182952448,930705323017684295362670532664589053465419947366678528,3621075806650945960551074693768157234622434562982019072,9.126116575876801e-14
