d,betaprime,total cost,preprocessing,single enum,probability
425,344,59536222273035883320703830860537384873486835485381765503557976544870882981554683904,22969627492888056063373328124314033508941608515748502548298858496,73234870024912881346759083370610270542241055556309455496210808832,1.1527010767143132e-18
426,344,80992348415429370950061114613623851913900274095356434115022764834470973004243271680,23244738796786304344112015186208684860827774416851987832460279808,108942215870803939758621485275623802444539436655340931620752326656,1.1642525638017593e-18
427,344,197798805229933114182062319376038957688790226272160806954292818671866466913581268992,23519850100684552624850702248103336212713940317955473116621701120,79825095972550287151382057506507046617194516148179987209488695296,3.727075378860197e-19
428,344,270334082758029334718955395376091263016707602294610966309026445406512041846340845568,23794961404582800905589389309997987564600106219058958400783122432,114108250748840712055137946043854739168428441450013081796419256320,3.638950735473442e-19
429,344,645954316897400482407534158343018646849180861584332817008445178897505444839540391936,24070072708481049186328076371892638916486272120162443684944543744,138452268292237012387511768367715101718784003696641012419824451584,1.7947909116436759e-19
430,344,974583732258055244586381698988607846917059820655855997885094162329682104537900384256,24345184012379297467066763433787290268372438021265928969105965056,150517040235966041777124476199565992848802314630130620616077737984,1.2799100162748512e-19
431,344,2265120608777232953812729644407026382986451107028610272468842946445335130739109265408,24620295316277545747805450495681941620258603922369414253267386368,142074017794292050357726089839677034416700658638313235963000651776,5.249670552043013e-20
432,344,3888624342582606271649718571035115712873432809022443065865908507907712141942457368576,24895406620175794028544137557576592972144769823472899537428807680,93090438988289932778246096264574740769422060192238002661956255744,2.1643949716168547e-20
433,344,8199265820631460272866922773999757148696013138345457102985078384567480463264422297600,25170517924074042309282824619471244324030935724576384821590228992,145203577263754045477594952840302401101954535931185017391018934272,1.482283223378915e-20
434,344,13646007300425625669750396750407276838354508304122312032330663089291255569345880784896,25445629227972290590021511681365895675917101625679870105751650304,84331101568916118078762933789419836539247941833939616726406660096,5.7386176689992306e-21
435,344,29474464338498357898152639782967725815726152181052497332936966458325425626008130682880,25720740531870538870760198743260547027803267526783355389913071616,135996044318492337217928758723039987744963482412915241793192198144,3.913918469087529e-21
436,344,46728430539303776557580295352597068906883913101154443692943257244383170699266780823552,25995851835768787151498885805155198379689433427886840674074492928,161620216403613468362239609679828846687442541476320215904781598720,2.864121471616799e-21
437,344,113660403074326781490917861535875605355458022011055354503256205854550991734989901529088,26270963139667035432237572867049849731575599328990325958235914240,119172773462347383974655631282637072063172642481736255736062672896,9.128268982970175e-22
438,344,167003618218523737684951466860018111032166906211742100585877227101925042232630511140864,26546074443565266174956611958109482639243772634697575371206819840,155847419766978495624947099192665054111403090630747665644524666880,7.79087184053829e-22
