k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
146,1.0,146,0.15,63.2069728048829,1.0646203157324286e+19,1.0,0.0,104,523487601491457.44,1362224634766498.2,0.00017712532894514975,"Strategy<146, (104,104,104,104), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.0646203157324286e+19}>"
148,1.0,148,0.15,64.18151425462011,2.0919965201038316e+19,1.0,0.0,112,1.3577605100922108e+16,9054560982372320.0,0.0010818453025997926,"Strategy<148, (112,112,112,112), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.0919965201038316e+19}>"
150,1.0,150,0.15,65.24304096626308,4.366287606221262e+19,1.0,0.0,112,1.5596133594317124e+16,9550078904361290.0,0.0005759174558920278,"Strategy<150, (112,112,112,112), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 4.366287606221262e+19}>"
152,1.0,152,0.15,66.34177765082963,9.351150324772002e+19,1.0,0.0,112,1.7995423042194968e+16,1.0045596826354414e+16,0.0002998670633522628,"Strategy<152, (112,112,112,112), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 9.351150324772002e+19}>"
154,1.0,154,0.15,67.39383220561447,1.9389428862588007e+20,1.0,0.0,118,5.80332855523867e+16,3.5986730727192164e+16,0.00048490348501698736,"Strategy<154, (118,118,118,118), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.9389428862588007e+20}>"
156,1.0,156,0.15,68.48990191174582,4.144907809948233e+20,1.0,0.0,122,1.6456532775474954e+17,1.0647971516854501e+17,0.0006539229709108529,"Strategy<156, (122,122,122,122), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 4.144907809948233e+20}>"
158,1.0,158,0.15,69.52460408828546,8.491633999456987e+20,1.0,0.0,124,3.1469481638638246e+17,1.955459477483879e+17,0.0006008746540034565,"Strategy<158, (124,124,124,124), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 8.491633999456987e+20}>"
160,1.0,160,0.15,70.69317421291541,1.9088241756374088e+21,1.0,0.0,124,3.927959628228619e+17,2.135193873531638e+17,0.0003176381344675501,"Strategy<160, (124,124,124,124), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.9088241756374088e+21}>"
162,1.0,162,0.15,71.58877751430927,3.551153005022922e+21,1.0,0.0,128,8.062454326432006e+17,6.16982862776272e+17,0.00040077920985279707,"Strategy<162, (128,128,128,128), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 3.551153005022922e+21}>"
164,1.0,164,0.15,72.5829754836703,7.073800300257912e+21,1.0,0.0,132,2.3266175402781107e+18,1.6636901114714668e+18,0.0005640967347642101,"Strategy<164, (132,132,132,132), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 7.073800300257912e+21}>"
166,1.0,166,0.15,73.72306593641588,1.5590290913937683e+22,1.0,0.0,132,1.2018753555783834e+18,1.8229447264704463e+18,0.00019401947652847502,"Strategy<166, (132,132,132,132), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.5590290913937683e+22}>"
168,1.0,168,0.15,74.65571791054971,2.9758459053295786e+22,1.0,0.0,140,1.404773629819443e+19,9.86823927437079e+18,0.0008036698247625325,"Strategy<168, (140,140,140,140), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.9758459053295786e+22}>"
170,1.0,170,0.15,75.69216212775716,6.103953789781798e+22,1.0,0.0,142,2.344123776218617e+19,1.6663969894478023e+19,0.0006570365543035649,"Strategy<170, (142,142,142,142), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6.103953789781798e+22}>"
172,1.0,172,0.15,76.73726998296145,1.2595634512829616e+23,1.0,0.0,142,2.9980874269970473e+19,1.8901741569464836e+19,0.0003880917296357292,"Strategy<172, (142,142,142,142), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.2595634512829616e+23}>"
174,1.0,174,0.15,77.71865732740535,2.4868356140148798e+23,1.0,0.0,142,3.711586733568386e+19,2.2258399081945063e+19,0.0002387542871069469,"Strategy<174, (142,142,142,142), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.4868356140148798e+23}>"
176,1.0,176,0.15,78.83071846835169,5.3754006404267046e+23,1.0,0.0,142,4.5364670154123166e+19,2.4496170756931887e+19,0.00012996397028651883,"Strategy<176, (142,142,142,142), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 5.3754006404267046e+23}>"
178,1.0,178,0.15,79.98169641252558,1.193684966359512e+24,1.0,0.0,146,1.1609180738185576e+20,7.1668077055228e+19,0.0001572943362181329,"Strategy<178, (146,146,146,146), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.193684966359512e+24}>"
180,1.0,180,0.15,81.13514841845843,2.655298661859941e+24,1.0,0.0,146,1.3463747476133716e+20,7.940522687352285e+19,8.060965220572622e-05,"Strategy<180, (146,146,146,146), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.655298661859941e+24}>"
182,1.0,182,0.15,82.11018212377881,5.219486380450693e+24,1.0,0.0,146,1.6932878720386004e+20,9.101095160096512e+19,4.987842094576849e-05,"Strategy<182, (146,146,146,146), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 5.219486380450693e+24}>"
184,1.0,184,0.15,83.26480978889234,1.1619978639554553e+25,1.0,0.0,154,1.4367903901270354e+21,8.787034692139317e+20,0.00019926834043042016,"Strategy<184, (154,154,154,154), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.1619978639554553e+25}>"
186,1.0,186,0.15,84.39901906143665,2.550564684632024e+25,1.0,0.0,156,2.9592632517134826e+21,1.6857239096078799e+21,0.0001821160305915357,"Strategy<186, (156,156,156,156), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.550564684632024e+25}>"
188,1.0,188,0.15,85.36632696268782,4.9868354193997865e+25,1.0,0.0,156,3.026190895808206e+21,2.0117678421344322e+21,0.00010102516554574815,"Strategy<188, (156,156,156,156), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 4.9868354193997865e+25}>"
190,1.0,190,0.15,86.50748758530155,1.0998883770332787e+26,1.0,0.0,158,5.391651958361485e+21,3.7664127774246867e+21,8.326358316912263e-05,"Strategy<190, (158,158,158,158), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.0998883770332787e+26}>"
192,1.0,192,0.15,87.61913502466037,2.376773718520152e+26,1.0,0.0,158,8.011117730871311e+21,4.17233537884218e+21,5.126046713988095e-05,"Strategy<192, (158,158,158,158), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.376773718520152e+26}>"
194,1.0,194,0.15,88.65876489959658,4.885934192871756e+26,1.0,0.0,158,9.192430453559273e+21,4.781219280968409e+21,2.8599750186800062e-05,"Strategy<194, (158,158,158,158), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 4.885934192871756e+26}>"
196,1.0,196,0.15,89.95353312131031,1.1987032573179381e+27,1.0,0.0,158,1.4677518842830122e+22,5.187141882385901e+21,1.6571791729057776e-05,"Strategy<196, (158,158,158,158), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.1987032573179381e+27}>"
198,1.0,198,0.15,91.06816359231787,2.595666495407234e+27,1.0,0.0,158,1.136504757315364e+22,5.593064483803395e+21,6.533239954733274e-06,"Strategy<198, (158,158,158,158), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.595666495407234e+27}>"
200,1.0,200,0.15,92.39410100289808,6.50722501059858e+27,1.0,0.0,158,1.641325072711442e+22,5.998987085220887e+21,3.4442082110010938e-06,"Strategy<200, (158,158,158,158), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6.50722501059858e+27}>"
202,1.0,202,0.15,93.35806345908392,1.269338457777126e+28,1.0,0.0,170,3.8010916413406455e+23,2.5936388510733726e+23,5.037845070583077e-05,"Strategy<202, (170,170,170,170), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.269338457777126e+28}>"
204,1.0,204,0.15,94.52377907134684,2.8476906151900383e+28,1.0,0.0,170,5.484538767513881e+23,2.879440988354613e+23,2.9371097096200286e-05,"Strategy<204, (170,170,170,170), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.8476906151900383e+28}>"
206,1.0,206,0.15,95.81392465258803,6.964105196089913e+28,1.0,0.0,174,1.2978123588669149e+24,9.652515972841343e+23,3.2496119636757866e-05,"Strategy<206, (174,174,174,174), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6.964105196089913e+28}>"
